uuid|studentuuid|total|points|grade|position|remarks
86F1A310-9C77-4F45-AB63-9D497C627C7B|30337A53-79C2-4DCA-BC0D-5B5B9A826262|345|34|D-|8|Poor
944F9217-DDE0-4051-9041-A808098DEFF1|F6D06817-4EE8-4D81-8C2E-194DD8F7FED0|177|23|E|9|Poor
7CEF087F-7613-4F12-AB24-13BE3D78DE73|8F8E971C-E0A3-4F36-9578-DDEE3B186D53|889|65|B|4|Good
8F392BF4-8F8A-4064-925A-674FC1A3415A|7D05C77D-9BE7-4CEF-9C81-C3334FF535A9|877|56|C+|5|Good
D6E46B90-9401-49EC-BFFB-2E83738A4372|BFC44B48-5033-4D42-9286-176242244B56|999|63|B-|3|Good
70BAB42F-F20A-4330-A797-FFC7A6098D9C|20A5275A-8000-4567-B5B2-42743C9D06F6|1233|74|A-|2|Exellent
9918D85E-8594-44B6-B949-FD754D086083|4A5715E5-06BA-4C6A-B3AD-4ECE988BF422|1455|76|A-|1|Exellent
ADF9D2AF-6803-4D68-AC55-181555D9C47A|218530D9-38F5-44A0-8D73-1A30B1DFB28F|678|45|C-|7|Fair
3012EF30-7895-4521-BD70-C6E0228BB09D|96396B64-EB92-4352-9EB3-481686D3176B|737|65|B|6|Fair
515B9E0A-7E1F-43FB-9D5B-94669874B0B3|C5C3A4FD-E64F-46F6-841A-C31DF1FEA9A4|345|34|D-|8|Poor
24AEB486-BC5C-480B-B9AE-16A96EF49BD7|E8A5D9A9-EA7F-41CF-A84C-F61AD3F225D6|177|23|E|9|Poor
D9A9F0B5-F586-4110-B1B1-7A707B814EAF|F235A287-AF81-47B2-9E1F-61B3CE385444|889|65|B|4|Good
74403BBE-26B4-442D-829D-705E0F4E224F|C1EC572F-2318-457A-9DF7-854A5E5FA49A|877|56|C+|5|Good
A93C805B-60A7-41C4-96D4-562590F3ED41|3C1DEB2D-2DD7-4F1E-BE89-C9B9B7852062|999|63|B-|3|Good
BB5921D1-821A-4BF4-861D-7009D32AF69C|F7181FB0-4EE8-4894-B62A-550DD5E07097|1233|74|A-|2|Exellent
DECA2771-C174-4B1D-A697-26D8BBF7E0BE|90072B13-2EC9-4733-8134-56F800866B9A|1455|76|A-|1|Exellent
13FF193E-0A8E-4C08-924C-E3C87E660F25|3125CE59-F9E4-42B3-B18F-98D0C9CABD66|678|45|C-|7|Fair
C6ABB28F-4EA0-4ECF-9DB9-E864C2AE3651|A09855F1-1C1A-4E5C-89F2-CEEA780F45DE|737|65|B|6|Fair
25D6B06C-3441-4584-9637-B912CF4C0A7F|5DADC85B-7257-4A65-903B-F00864D9521C|345|34|D-|8|Poor
DC185E25-FFBD-4A2F-A44F-0E07B32625CD|82B6EAB3-AE0F-42AD-83E8-A0CE28356BC7|177|23|E|9|Poor
63EB5B01-11A8-4264-B427-124A97201AA9|42C3EEB7-AC68-4029-ACCE-22EC65D0C980|889|65|B|4|Good
8355CC46-2717-44C5-B03F-118C60B2459C|B3A175AE-C590-44C3-AAC8-B8E45D149C79|877|56|C+|5|Good
8B705434-3EE6-436D-99D7-A38C76687D40|C7ADBD8A-9B03-4F5F-ABD1-F1681AD9CE50|999|63|B-|3|Good
B03519C9-F024-495D-A8EC-80353E83F14A|FD11FF19-9779-492A-B492-A9EF7981D041|1233|74|A-|2|Exellent
4FC9F539-23C9-4CE5-A77A-EEDDF4E3972C|A5E45BB0-9967-40A2-9C2C-79F19E177293|1455|76|A-|1|Exellent
03D94FBD-6F04-496E-9B3D-8BAE0B66A446|A5E23A8B-43AF-4E49-B042-D5249B3C5F10|678|45|C-|7|Fair
F46AFCAB-B331-473A-A1F2-F5FFA3D00812|4AD67BE1-5988-497E-B785-4D92C3D2E4E3|737|65|B|6|Fair
A1AE28DD-C8CF-4FB3-AD45-352FB5268A60|6A9A396F-48C5-4C37-99F7-EA796E7A8EFA|345|34|D-|8|Poor
E670F551-9239-4C5C-90D7-DA970D25905B|D2A2101C-108F-40CE-B9F0-8F50585EAE73|177|23|E|9|Poor
BF3BD1BA-46F5-4F0C-B455-1CEA5F8E6109|DE6780A4-4FF5-4242-B89F-92883D0F1C7E|889|65|B|4|Good
E6335012-55F6-48B3-AF4C-1FF72A91DF78|9046717D-4497-4519-9247-6AFFD17706A4|877|56|C+|5|Good
98B8AE58-5493-4A5C-8AE9-8041D4019DC3|43FE5177-1EF4-4E31-851E-83D9C7A53576|999|63|B-|3|Good
296B7C6D-9FF2-4EFC-A14D-952F9030D1E6|B2F438B8-02E5-4F8D-9423-804DAC940AFE|1233|74|A-|2|Exellent
B9640772-C9F5-4192-8476-4EDE6071B90D|322F745A-2811-4904-81C8-5270384558CA|1455|76|A-|1|Exellent
591CC73E-38BC-48F7-AAEC-451D3108CFEB|ADF40FA4-247B-4238-91B4-F2BD8D1EDFA5|678|45|C-|7|Fair
096F4E3E-CE64-4C4E-8829-36ACB97D2403|2D2DCD6D-A158-4F8A-9AF2-A0B9B2C2FC98|737|65|B|6|Fair
F3DB93FA-C03C-4747-8244-B89B97542F7B|CD963199-6BC5-40D6-8F9C-90C6A7E7A01D|345|34|D-|8|Poor
F18DF39F-31BA-47B6-95C2-59664263B11D|BF980B53-D306-4E44-B467-7BC77B5DE031|177|23|E|9|Poor
0F44DAB6-97AE-414D-82EC-87902A78225B|8B7745CC-3E7F-42AC-A5C6-A8168D582C65|889|65|B|4|Good
1DB05CA1-DCD2-46E0-8357-D5A740E5ABE3|10FD4406-E546-4D6B-8346-A9CB66D2B5A9|877|56|C+|5|Good
B9DE0A3A-F9D7-45BF-B733-13BEB5F4C85B|6C68B7CE-18ED-4E11-93D4-13ED8A791266|999|63|B-|3|Good
0857DC25-4BC9-4D27-82D0-26E65B0BD7CF|344180F5-69C2-458D-8A76-A13838245EC7|1233|74|A-|2|Exellent
3965DC6C-17C3-42D3-93B9-DED8A5EE8B7F|5C88EFC9-8683-491F-8FEF-10502B89B05E|1455|76|A-|1|Exellent
449E0C61-31D3-418E-BA64-FE6686CDCA1B|8DCF543F-0B58-4980-AEBE-83DF7AD2D01A|678|45|C-|7|Fair
D84BB3CD-AB63-435F-A409-25E0A1AD2B99|20D06F8E-CB52-43B4-A363-AB36967652B1|737|65|B|6|Fair
2EA5B2B3-6450-4A0B-889F-10981A353BD5|426C6295-5A10-41E4-A442-02A651F24FBC|345|34|D-|8|Poor
909883B8-3CCA-4037-9CBE-C8400545D634|AD72ED57-A90F-4B28-9D7A-04A7E6DFA7CF|177|23|E|9|Poor
C35AD56C-C9C1-481F-ACA9-7ED84EEBD7DA|89CA307F-ACF8-4B02-9D6E-D4662CBF0F88|889|65|B|4|Good
331DAC64-510D-4C3E-8B00-FB6DC1722BC8|CC34441F-500E-46E6-A868-93E6E6EE6431|877|56|C+|5|Good
6193CEDA-1074-4FAC-99AA-A4AC79781E2C|279EAFA6-137D-4854-84B3-CA9E15C2312D|999|63|B-|3|Good
D290BF27-6C84-47F6-864C-BEB418231480|1B85352D-1777-4C62-8689-638018390F25|1233|74|A-|2|Exellent
1801CB47-5EF9-4E7C-A0DE-BDF7CCA79BF0|4ADD0497-B256-4074-B487-CE91AD01B7F1|1455|76|A-|1|Exellent
E7F5EB41-A092-4388-B12E-E324B0A41D7A|97886E12-50D6-4728-B2F7-C65544769FEA|678|45|C-|7|Fair
B382114C-D1CC-4CC5-BD9C-5336C071727A|0A933196-2032-4E0A-B027-C7855D2E7B83|737|65|B|6|Fair
7A86EBAB-0708-43E8-8331-F68B074FDB21|E2143967-AC1A-4E52-9D3E-7A5ECDEEBE54|345|34|D-|8|Poor
718A9D58-3C76-46E2-A3AE-2FE9D475584E|959B8D81-57D8-4FB2-8E01-BACA59B1DB85|177|23|E|9|Poor
BBBC85E2-B5BB-496D-8DD7-1F33087327C6|37929926-C41C-41FC-B56A-BA5605E3DF8B|889|65|B|4|Good
F655061D-F267-48BF-9D53-0929542E32AE|C6C2A82D-0057-445F-ABC0-CA9556FDEC66|877|56|C+|5|Good
398CD005-D9D4-4E67-8914-4C450A282FA8|30054B93-C6BC-4E40-86C8-B6C8B4D31FFF|999|63|B-|3|Good
7327474E-2CC5-4CBA-A27C-C7C3BF1E16D5|75364A7F-3318-4657-B822-43B3B03AC082|1233|74|A-|2|Exellent
C93B4EBF-C3F8-4F5A-A823-FDCEBDCD6D4A|405C767B-31A2-41AA-975F-C6C6FD093CED|1455|76|A-|1|Exellent
4B814E09-50BC-4AC4-B751-2B2E70517CED|77D0FD40-AA44-4123-9127-237329E399B4|678|45|C-|7|Fair
E8442E27-9A47-445E-8704-E6113BC3D033|58DD73DC-7DB9-46AE-879F-19A145F48C44|737|65|B|6|Fair
8C16348E-4EF8-4A9B-B18D-BFB057135EEA|4DA2F4E9-6066-4E7E-9720-A7C537CA68FD|345|34|D-|8|Poor
2EA6BAFD-6694-4A52-8BB4-03644709FF4D|7B8C9862-BE38-4C19-B978-4F2D516264E8|177|23|E|9|Poor
3FBF3C01-6147-4972-8DFB-0BFA8F563119|160598CA-40D2-451D-83A2-B206444FBEB1|889|65|B|4|Good
66D6068F-87F0-4871-8B8F-57DEE8A64BC2|DF2E1067-D7AE-4267-ADF6-7A0E00580395|877|56|C+|5|Good
F0BBCA9E-F8D5-4E94-8CFD-BD8ECF36D843|E2C76120-6210-4382-87EB-D1831194CEAC|999|63|B-|3|Good
6F5AECEA-8DD9-4871-8A61-A5939AE66616|A7DB662A-F029-4E61-B9DA-8F8FBB6E9C2B|1233|74|A-|2|Exellent
E88BF21D-7F44-4157-A0BE-A0BF3BB18D8E|7EB28850-D359-447E-8A0E-772B53E56928|1455|76|A-|1|Exellent
1F488739-319F-40CE-B657-E7E0190B6B45|109E2190-1376-42E3-A1E3-CF3BBB3562C0|678|45|C-|7|Fair
22D953B9-040A-49DB-A401-6BD3C57D09F8|BF417051-B59C-436F-A2D6-7882E12DFB2E|737|65|B|6|Fair
6F5E158D-AFDA-485B-8BEC-FA0C52D2D684|A9B53E30-7945-4B3A-BCB5-735D45F7D90C|345|34|D-|8|Poor
098B7506-BFDB-4A63-B7F1-6F36AAF4734C|1274712B-8FD9-4E15-9920-98A1DB642CF3|177|23|E|9|Poor
62DD2F53-966A-41D9-884E-BEC99B9F22B9|225FFAC7-C157-4775-9858-174D0FBCDC83|889|65|B|4|Good
AD469994-BE10-4C39-9358-1A296F6D8916|72E60D8A-A375-4248-9E8A-7AC5133138BD|877|56|C+|5|Good
7693862E-48F0-40E0-86A1-20F53937B406|2EBB8D57-A3C7-4904-93D6-A6EBA2044917|999|63|B-|3|Good
4B05C22A-E9EB-4AD2-BE7E-8F996C6055D5|DCDDF517-3F74-4765-92D3-56F01EDA4799|1233|74|A-|2|Exellent
780FEA52-C20E-41A5-8F6B-2AA971B5F0E8|A97FE25A-1029-4956-BA48-B6A3AE3064FE|1455|76|A-|1|Exellent
1AB222EB-5604-45A9-9B32-FEAADC67AB61|98149764-7A26-4688-AB73-B6B4D7980E4D|678|45|C-|7|Fair
A21B694F-01B7-4FDC-B162-ABE0083F3C36|40BE24F7-0FC4-457A-8278-FAA795772822|737|65|B|6|Fair
614B341B-A5E5-4D1F-B282-1D7520C87662|BD7C786D-28F0-498D-A8C6-003AA44BA7B4|345|34|D-|8|Poor
769DE4C5-B805-4AF2-97FB-BA5832EE22DC|D5E65F43-12E9-4E6A-A013-9321434B7354|177|23|E|9|Poor
FD905788-284C-41F0-9190-6FCF9F1FD4CC|CBFDAB2C-E872-4821-AD2E-B8CA7F49C327|889|65|B|4|Good
32E485CC-88B5-4055-85A9-3DEE50E820F2|A1B3A19D-64A2-4A62-A826-AC0341169294|877|56|C+|5|Good
AED6CE1A-8C6F-4030-896E-7D2E481FA680|217F42F7-4356-48D5-87E6-7E96CA44CE79|999|63|B-|3|Good
1F311D76-6A63-4B33-B0AE-86F5B2229C84|139EB611-A803-4526-AFB9-7FBDB59F476D|1233|74|A-|2|Exellent
B46575C9-EF69-4F9F-B89E-971C4879CA91|477FC33A-FE04-4AB0-8B34-900777D5B3DA|1455|76|A-|1|Exellent
B28ACBCA-0687-4B05-9695-24711DFE5431|23CD741B-6649-4BBA-A534-25DD0C50CDA7|678|45|C-|7|Fair
04FA0E90-67A5-41D5-9BAB-D68BCF8326A5|A7122E4E-769B-4390-999F-B7EAD7F290C3|737|65|B|6|Fair
46D973D7-17AA-44C8-BE77-2F6B0AED9F0C|46A7AB1A-E06C-42A5-8C6C-D8993BF4F839|345|34|D-|8|Poor
BB5E3ACF-3217-4099-99B5-344D947BF1D0|04A0C994-44DC-4CD0-9668-7AE36C3E6EEF|177|23|E|9|Poor
A132B3B8-2CD4-4974-85F9-825CA0820A47|F569D85A-E160-4F4B-9E3C-D0331D345038|889|65|B|4|Good
865476C6-766C-4E41-834A-E4E4F006D564|C4B7E9A7-DE50-4373-AA51-DF38446B4756|877|56|C+|5|Good
C8763796-44B4-4C83-AD55-D785350816B3|A0F4F2BE-4844-42A1-9D98-D3F095AE4F87|999|63|B-|3|Good
531AAE50-D512-4831-9361-59C41DDFC67A|5054F6A5-228B-492E-87C2-788A558A1633|1233|74|A-|2|Exellent
B92B6A34-5F7F-4398-8818-B6020428FE33|01F368CA-CAEE-4C31-8B02-2D04E3709DD4|1455|76|A-|1|Exellent
90CA3875-B093-48D1-B570-F85D3B61466D|5E664942-DDF6-4A75-9CD7-C0E1B68F3D76|678|45|C-|7|Fair
287BB0E4-8D8A-4D58-AE69-3E927B83851A|9B46BB38-4AF1-49B7-8100-1B25C478D9F5|737|65|B|6|Fair
DB4F09CC-0DF0-4047-831A-EDACC733994A|D48BFC86-D108-4932-9F70-3478E604E830|345|34|D-|8|Poor
93CE2862-FB65-46E1-96FD-A1F19E7A1BD5|89B8755A-FDF5-41BA-8C27-B3858435FB86|177|23|E|9|Poor
905819AD-3F50-4A2E-9E5F-861CBE76C636|7903A066-B9BE-4C1D-B8D4-BB3207FD6FE2|889|65|B|4|Good
6F49E23F-EED3-4C69-BAF4-DD9A3F9BF88E|A52DEF60-7318-4176-AC19-FEEB995D02EC|877|56|C+|5|Good
658720A8-0870-4BA5-8300-F64B367D98CC|FC23CD24-E61E-444C-A5D7-520899BED96D|999|63|B-|3|Good
18C18607-9151-4F86-A321-B6E8FF1369F6|37EE450B-A4D5-4C13-A29B-93AF948AD2B1|1233|74|A-|2|Exellent
B078B4BD-35D4-4D60-BC61-F68D2ED7267E|39054B85-CD7B-4E25-8577-EA250AE98CD6|1455|76|A-|1|Exellent
6D3F96EF-32FE-47D9-BA5E-FC0CEC809433|AC6A577C-A7BB-4539-A9B3-32FFF935B8CD|678|45|C-|7|Fair
0F6CD3CD-4435-47BE-84EC-633BFEB1F033|C650A260-BE1A-4E78-97F7-AA8B84591018|737|65|B|6|Fair
BFDF8E55-2F2A-4DE9-95CF-DDFF8D7D5427|CDCDA338-33ED-4675-902E-C00D107082ED|345|34|D-|8|Poor
F555F3F2-40B2-4D42-BF5A-85F7532B1457|E76665A4-BC71-4B0E-9FB6-A94976BA204D|177|23|E|9|Poor
9FD2BE7C-F496-4F00-8D6B-F0EAFB6BCE59|A281262A-0F0C-4593-9BBF-34CDA13B79EA|889|65|B|4|Good
6F8B2F9C-BAC2-4C55-A24A-615128093274|5CB4E3CB-58DB-4DD0-B42C-5FFA1E55E1C3|877|56|C+|5|Good
F3BAA77B-9C68-412A-925D-A15354F38A2A|9AFDE5BE-F5FD-47F8-8B87-C337A25FC258|999|63|B-|3|Good
EDC15E3C-8176-4FF9-BC88-7DDDA9D0D065|9CCE009F-2C80-40AE-9504-E901C3AC7C0B|1233|74|A-|2|Exellent
AB611454-B23B-4960-B22E-853AF778EE8E|9A2851E1-D22B-458E-9AEC-954F1A40B7C7|1455|76|A-|1|Exellent
96B8CC93-88F6-421B-8F4E-CFEA0DF1197A|01C0BE4A-9618-4593-AE69-340092293313|678|45|C-|7|Fair
CC929E26-A9A6-4C87-9326-76C8603DE7E1|95FDCCC2-0823-49B7-97C1-B83DC3F889D8|737|65|B|6|Fair
AE64F338-A9C5-49BB-B64A-D72E2C23158A|BA29BACF-52F8-4E5D-92C8-480E1688AF91|345|34|D-|8|Poor
481CA67C-BA06-471C-9EE2-199B669C3DEE|29812CEA-1104-40EE-A9A0-3A25A83D8396|177|23|E|9|Poor
50184BD6-92A0-4754-8A03-4C2FB3B24E10|6E6D8BE4-45FD-465E-A975-D6CC3F4B1221|889|65|B|4|Good
4760F7AC-5BD3-4557-B349-D4B32616E050|F76334C5-C248-4BD3-85F4-2F87C93745A3|877|56|C+|5|Good
42A91239-4552-4677-96E6-FD56907CE450|DD295E0B-BFE2-4458-86DF-E8AA6165E8E1|999|63|B-|3|Good
E5B92878-537A-45DE-924F-93E16650C9F5|963258B3-7F25-4DB5-AFF2-98DF86E61D61|1233|74|A-|2|Exellent
A8772F91-D6BE-4043-B941-57ED6B909E9F|6672E5BB-A42F-4648-AAAA-990B0FFDF93B|1455|76|A-|1|Exellent
E07B240E-FC6A-4424-8193-428EFCA65B52|D6959C41-8569-4431-9F9E-69B19C55085B|678|45|C-|7|Fair
DD89AC3C-4606-48B9-BBA1-FF268254BDAA|7C9CE7BF-3063-4C4D-B076-37262123E32F|737|65|B|6|Fair
10AC1E0E-1672-45E4-95B9-193FA22D6CD4|6FBBB25E-B826-4AE0-ACB7-322119D81AAF|345|34|D-|8|Poor
8E32500B-DE36-45F8-8051-61D980A7A1F9|F300F936-7801-4312-8CBF-29FD34D0133E|177|23|E|9|Poor
9D966AB2-CA56-40F8-A4BB-B60B182822C0|2D42B1B9-DB8D-4EB7-BEB2-66E1FD099298|889|65|B|4|Good
9DFB20D8-B59D-433F-84F4-926FF12EE92F|F606121C-5F68-4B3A-9E8B-08658659303F|877|56|C+|5|Good
9005BD17-62EA-4F2C-9715-5A5D7ED9959B|44E37FF3-55B1-46AA-8640-6EF64C7A88F9|999|63|B-|3|Good
BF2382A9-BDCF-4DE5-853F-49E9F1D02D3A|E56B1268-FCAF-465E-BB6D-6105F29903BB|1233|74|A-|2|Exellent
B5AC9DCE-F184-4210-8073-72C532B7F902|09FEE751-2B4D-4A94-9E08-8308565A5839|1455|76|A-|1|Exellent
05CA3AD7-E559-4F67-8742-3DFB8BED205D|E20BB62F-A3B7-4B4E-BEA5-9488E265C682|678|45|C-|7|Fair
61359580-F0D5-418A-9B49-3CA64C1FBB24|3B4A6981-8FAE-44D7-A51A-8997010D8D88|737|65|B|6|Fair
976C620F-4635-41E4-8EC9-A650019B74B8|19286851-DC25-46AD-AF8A-187742201267|345|34|D-|8|Poor
D16DF43D-AF25-4895-87EC-B32AC441B2B0|2C6AFEB3-41F8-4B9F-AEBE-3749DEA68E7D|177|23|E|9|Poor
79E9C794-5E62-467F-BE08-A31DE0DFF1B1|4B96EED2-4B0F-4AB0-9D29-9E796687AF3D|889|65|B|4|Good
E16F3F25-3C12-4ED3-81FC-29C90224DC9D|AE432E24-87EE-4716-BE7A-FB522B76B55A|877|56|C+|5|Good
98186BB6-B5DE-43A0-BDC0-E6AAA2D5F4CE|F6F70113-88CA-4365-AAAA-4846FA9592C8|999|63|B-|3|Good
40D4C276-1572-4804-B16A-45AA11FABFAC|58413CCF-5787-4BE4-AE10-6D50EC8A9EB7|1233|74|A-|2|Exellent
DEE7D0EB-2FE3-4FC5-A4B6-CFF4CAC0F15A|85A892CB-2AA4-4215-A13B-1FCC5FDD3CED|1455|76|A-|1|Exellent
F17D5E0C-BE0D-49A6-A81D-BB7A5D7BF5E7|85364817-AC76-4B45-9206-31038772C729|678|45|C-|7|Fair
A081DC30-0801-46EC-A700-80190915395C|1276B701-766A-4318-8CFE-889BC453A2BB|737|65|B|6|Fair
8FE4B393-B77D-4257-97EC-D25B1FBA8F15|735FD421-C90E-4F51-B3B2-495062A20D8D|345|34|D-|8|Poor
985D8BC3-FCA4-4444-8ED8-A57398F887C6|570039E3-AAB1-4B0A-A547-81177E18C404|177|23|E|9|Poor
47A3ACDA-3C10-434D-8F42-602282774CCA|B815EF28-020A-407A-9D15-8A681522FE7C|889|65|B|4|Good
EF613BBC-E1AA-4271-8E82-B4333B94F910|9BA32268-A771-4FD9-ACB5-EA648C1F6DCC|877|56|C+|5|Good
E8FBCB99-C14A-4F45-82C3-47D6FA80C84D|578038E6-0BEF-4F6D-81DF-124F916CA831|999|63|B-|3|Good
54FC2F9B-7E6D-4F97-97F6-ABE675E099C4|4A272923-E402-4E23-B5D6-BAC0BE4CF323|1233|74|A-|2|Exellent
33F6D727-4976-46C3-9E07-8EAF5BFE8714|1C0828A9-F44B-4E90-B603-D3148DDC89C7|1455|76|A-|1|Exellent
8C7888D3-5492-4EE0-B974-A95841428F55|CF4A1E2A-572E-429E-B33E-1E6DC7A5A0DC|678|45|C-|7|Fair
